Sequence,Volt,0,
189,1.94e+01,
190,1.94e+01,
191,1.94e+01,
192,1.94e+01,
193,1.94e+01,
194,1.94e+01,
195,1.94e+01,
196,1.94e+01,
197,1.94e+01,
198,1.95e+01,
199,1.95e+01,
200,1.95e+01,
201,1.95e+01,
202,1.94e+01,
203,1.94e+01,
204,1.94e+01,
205,1.94e+01,
206,1.95e+01,
207,1.95e+01,
208,1.96e+01,
209,1.96e+01,
210,1.96e+01,
211,1.96e+01,
212,1.98e+01,
213,1.98e+01,
214,1.89e+01,
215,1.89e+01,
216,1.89e+01,
217,1.89e+01,
218,1.99e+01,
219,1.99e+01,
220,2.00e+01,
221,2.00e+01,
222,2.10e+01,
223,2.10e+01,
224,2.10e+01,
225,2.10e+01,
226,2.15e+01,
227,2.15e+01,
228,2.15e+01,
229,2.15e+01,
230,2.23e+01,
231,2.23e+01,
232,2.23e+01,
233,2.23e+01,
234,2.23e+01,
235,2.23e+01,
236,2.23e+01,
237,2.23e+01,
238,2.20e+01,
239,2.20e+01,
240,2.21e+01,
241,2.21e+01,
242,2.26e+01,
243,2.26e+01,
244,2.26e+01,
245,2.26e+01,
246,2.27e+01,
247,2.27e+01,
248,2.27e+01,
249,2.27e+01,
250,2.18e+01,
251,2.18e+01,
252,2.20e+01,
253,2.20e+01,
254,2.26e+01,
255,2.26e+01,
256,2.26e+01,
257,2.26e+01,
258,2.22e+01,
259,2.22e+01,
260,2.22e+01,
261,2.22e+01,
262,2.21e+01,
263,2.21e+01,
264,2.22e+01,
265,2.22e+01,
266,2.20e+01,
267,2.20e+01,
268,2.21e+01,
269,2.21e+01,
270,2.21e+01,
271,2.21e+01,
272,2.20e+01,
273,2.20e+01,
274,2.20e+01,
275,2.20e+01,
276,2.20e+01,
277,2.20e+01,
278,2.16e+01,
279,2.16e+01,
280,2.16e+01,
281,2.16e+01,
282,2.21e+01,
283,2.21e+01,
284,2.20e+01,
285,2.20e+01,
286,2.20e+01,
287,2.20e+01,
288,2.20e+01,
289,2.20e+01,
290,2.17e+01,
291,2.17e+01,
292,2.17e+01,
293,2.17e+01,
294,2.21e+01,
295,2.21e+01,
296,2.20e+01,
297,2.20e+01,
298,2.21e+01,
299,2.21e+01,
300,2.21e+01,
301,2.21e+01,
302,2.17e+01,
303,2.17e+01,
304,2.17e+01,
305,2.17e+01,
306,2.17e+01,
307,2.17e+01,
308,2.17e+01,
309,2.17e+01,
310,2.17e+01,
311,2.17e+01,
312,2.17e+01,
313,2.17e+01,
314,2.17e+01,
315,2.17e+01,
316,2.18e+01,
317,2.18e+01,
318,2.15e+01,
319,2.15e+01,
320,2.15e+01,
321,2.15e+01,
322,2.15e+01,
323,2.15e+01,
324,2.15e+01,
325,2.15e+01,
326,2.15e+01,
327,2.15e+01,
328,2.15e+01,
329,2.15e+01,
330,2.11e+01,
331,2.11e+01,
332,2.11e+01,
333,2.11e+01,
334,2.05e+01,
335,2.05e+01,
336,2.05e+01,
337,2.05e+01,
338,2.05e+01,
339,2.05e+01,
340,2.04e+01,
341,2.04e+01,
342,2.12e+01,
343,2.12e+01,
344,2.12e+01,
345,2.12e+01,
346,2.17e+01,
347,2.17e+01,
348,2.18e+01,
349,2.18e+01,
350,2.17e+01,
351,2.17e+01,
352,2.17e+01,
353,2.17e+01,
354,2.21e+01,
355,2.21e+01,
356,2.21e+01,
357,2.21e+01,
358,2.21e+01,
359,2.21e+01,
360,2.21e+01,
361,2.21e+01,
362,1.92e+01,
363,1.92e+01,
364,1.92e+01,
365,1.92e+01,
366,1.49e+01,
367,1.49e+01,
368,1.48e+01,
369,1.48e+01,
370,2.06e+01,
371,2.06e+01,
372,2.06e+01,
373,2.06e+01,
374,2.22e+01,
375,2.22e+01,
376,2.22e+01,
377,2.22e+01,
378,2.22e+01,
379,2.22e+01,
380,2.22e+01,
381,2.22e+01,
382,2.21e+01,
383,2.21e+01,
384,2.20e+01,
385,2.20e+01,
386,2.18e+01,
387,2.18e+01,
388,2.18e+01,
389,2.18e+01,
390,2.17e+01,
391,2.17e+01,
392,2.17e+01,
393,2.17e+01,
394,2.20e+01,
395,2.20e+01,
396,2.20e+01,
397,2.20e+01,
398,2.18e+01,
399,2.18e+01,
400,2.20e+01,
401,2.20e+01,
402,2.18e+01,
403,2.18e+01,
404,2.20e+01,
405,2.20e+01,
406,2.16e+01,
407,2.16e+01,
408,2.16e+01,
409,2.16e+01,
410,2.14e+01,
411,2.14e+01,
412,2.14e+01,
413,2.14e+01,
414,2.16e+01,
415,2.16e+01,
416,2.16e+01,
417,2.16e+01,
418,2.15e+01,
419,2.15e+01,
420,2.15e+01,
421,2.15e+01,
422,2.03e+01,
423,2.03e+01,
424,2.03e+01,
425,2.03e+01,
426,1.98e+01,
427,1.98e+01,
428,1.96e+01,
429,1.96e+01,
430,1.85e+01,
431,1.85e+01,
432,1.85e+01,
433,1.85e+01,
434,1.88e+01,
435,1.88e+01,
436,1.88e+01,
437,1.88e+01,
438,1.89e+01,
439,1.89e+01,
440,1.89e+01,
441,1.89e+01,
442,2.01e+01,
443,2.01e+01,
444,2.01e+01,
445,2.01e+01,
446,2.10e+01,
447,2.10e+01,
448,2.10e+01,
449,2.10e+01,
450,2.11e+01,
451,2.11e+01,
452,2.11e+01,
453,2.11e+01,
454,2.16e+01,
455,2.16e+01,
456,2.17e+01,
457,2.17e+01,
458,2.14e+01,
459,2.14e+01,
460,2.14e+01,
461,2.14e+01,
462,2.18e+01,
463,2.18e+01,
464,2.17e+01,
465,2.17e+01,
466,2.18e+01,
467,2.18e+01,
468,2.17e+01,
469,2.17e+01,
470,2.18e+01,
471,2.18e+01,
472,2.17e+01,
473,2.17e+01,
474,2.17e+01,
475,2.17e+01,
476,2.17e+01,
477,2.17e+01,
478,2.21e+01,
479,2.21e+01,
480,2.21e+01,
481,2.21e+01,
482,2.21e+01,
483,2.21e+01,
484,2.21e+01,
485,2.21e+01,
486,2.18e+01,
487,2.18e+01,
488,2.17e+01,
489,2.17e+01,
490,2.10e+01,
491,2.10e+01,
492,2.10e+01,
493,2.10e+01,
494,2.12e+01,
495,2.12e+01,
496,2.12e+01,
497,2.12e+01,
498,2.12e+01,
499,2.12e+01,
500,2.14e+01,
501,2.14e+01,
502,2.17e+01,
503,2.17e+01,
504,2.16e+01,
505,2.16e+01,
506,2.18e+01,
507,2.18e+01,
508,2.17e+01,
509,2.17e+01,
510,2.17e+01,
511,2.17e+01,
512,2.18e+01,
513,2.18e+01,
514,2.16e+01,
515,2.16e+01,
516,2.15e+01,
517,2.15e+01,
518,2.20e+01,
519,2.20e+01,
520,2.18e+01,
521,2.18e+01,
522,2.18e+01,
523,2.18e+01,
524,2.17e+01,
525,2.17e+01,
526,2.15e+01,
527,2.15e+01,
528,2.15e+01,
529,2.15e+01,
530,2.15e+01,
531,2.15e+01,
532,2.15e+01,
533,2.15e+01,
534,2.15e+01,
535,2.15e+01,
536,2.16e+01,
537,2.16e+01,
538,2.11e+01,
539,2.11e+01,
540,2.11e+01,
541,2.11e+01,
542,2.17e+01,
543,2.17e+01,
544,2.17e+01,
545,2.17e+01,
546,2.17e+01,
547,2.17e+01,
548,2.17e+01,
549,2.17e+01,
550,2.15e+01,
551,2.15e+01,
552,2.16e+01,
553,2.16e+01,
554,2.15e+01,
555,2.15e+01,
556,2.15e+01,
557,2.15e+01,
558,2.14e+01,
559,2.14e+01,
560,2.12e+01,
561,2.12e+01,
562,2.03e+01,
563,2.03e+01,
564,2.04e+01,
565,2.04e+01,
566,2.01e+01,
567,2.01e+01,
568,2.01e+01,
569,2.01e+01,
570,1.94e+01,
571,1.94e+01,
572,1.94e+01,
573,1.94e+01,
574,1.96e+01,
575,1.96e+01,
576,1.98e+01,
577,1.98e+01,
578,2.05e+01,
579,2.05e+01,
580,2.05e+01,
581,2.05e+01,
582,2.12e+01,
583,2.12e+01,
584,2.14e+01,
585,2.14e+01,
586,2.17e+01,
587,2.17e+01,
588,2.16e+01,
589,2.16e+01,
590,2.20e+01,
591,2.20e+01,
592,2.18e+01,
593,2.18e+01,
594,2.03e+01,
595,2.03e+01,
596,2.03e+01,
597,2.03e+01,
598,1.39e+01,
599,1.39e+01,
600,1.39e+01,
601,1.39e+01,
602,1.87e+01,
603,1.87e+01,
604,1.87e+01,
605,1.87e+01,
606,2.10e+01,
607,2.10e+01,
608,2.10e+01,
609,2.10e+01,
610,2.10e+01,
611,2.10e+01,
612,2.10e+01,
613,2.10e+01,
614,2.12e+01,
615,2.12e+01,
616,2.12e+01,
617,2.12e+01,
618,2.16e+01,
619,2.16e+01,
620,2.16e+01,
621,2.16e+01,
622,2.14e+01,
623,2.14e+01,
624,2.14e+01,
625,2.14e+01,
626,2.10e+01,
627,2.10e+01,
628,2.10e+01,
629,2.10e+01,
630,2.09e+01,
631,2.09e+01,
632,2.07e+01,
633,2.07e+01,
634,2.16e+01,
635,2.16e+01,
636,2.16e+01,
637,2.16e+01,
638,2.17e+01,
639,2.17e+01,
640,2.17e+01,
641,2.17e+01,
642,2.12e+01,
643,2.12e+01,
644,2.14e+01,
645,2.14e+01,
646,2.12e+01,
647,2.12e+01,
648,2.12e+01,
649,2.12e+01,
650,2.09e+01,
651,2.09e+01,
652,2.09e+01,
653,2.09e+01,
654,2.01e+01,
655,2.01e+01,
656,2.03e+01,
657,2.03e+01,
658,1.95e+01,
659,1.95e+01,
660,1.96e+01,
661,1.96e+01,
662,1.88e+01,
663,1.88e+01,
664,1.88e+01,
665,1.88e+01,
666,1.82e+01,
667,1.82e+01,
668,1.83e+01,
669,1.83e+01,
670,1.88e+01,
671,1.88e+01,
672,1.88e+01,
673,1.88e+01,
674,2.00e+01,
675,2.00e+01,
676,2.00e+01,
677,2.00e+01,
678,2.05e+01,
679,2.05e+01,
680,2.05e+01,
681,2.05e+01,
682,2.06e+01,
683,2.06e+01,
684,2.06e+01,
685,2.06e+01,
686,2.10e+01,
687,2.10e+01,
688,2.10e+01,
689,2.10e+01,
690,2.14e+01,
691,2.14e+01,
692,2.14e+01,
693,2.14e+01,
694,2.17e+01,
695,2.17e+01,
696,2.17e+01,
697,2.17e+01,
698,2.17e+01,
699,2.17e+01,
700,2.17e+01,
701,2.17e+01,
702,2.20e+01,
703,2.20e+01,
704,2.18e+01,
705,2.18e+01,
706,2.16e+01,
707,2.16e+01,
708,2.16e+01,
709,2.16e+01,
710,2.16e+01,
711,2.16e+01,
712,2.16e+01,
713,2.16e+01,
714,2.20e+01,
715,2.20e+01,
716,2.21e+01,
717,2.21e+01,
718,2.29e+01,
719,2.29e+01,
720,2.29e+01,
721,2.29e+01,
722,2.28e+01,
723,2.28e+01,
724,2.28e+01,
725,2.28e+01,
726,2.26e+01,
727,2.26e+01,
728,2.26e+01,
729,2.26e+01,
730,2.29e+01,
731,2.29e+01,
732,2.29e+01,
733,2.29e+01,
734,2.17e+01,
735,2.17e+01,
736,2.17e+01,
737,2.17e+01,
738,2.15e+01,
739,2.15e+01,
740,2.15e+01,
741,2.15e+01,
742,2.10e+01,
743,2.10e+01,
744,2.10e+01,
745,2.10e+01,
746,2.22e+01,
747,2.22e+01,
748,2.21e+01,
749,2.21e+01,
750,2.33e+01,
751,2.33e+01,
752,2.34e+01,
753,2.34e+01,
754,2.33e+01,
755,2.33e+01,
756,2.33e+01,
757,2.33e+01,
758,2.33e+01,
759,2.33e+01,
760,2.33e+01,
761,2.33e+01,
762,2.35e+01,
763,2.35e+01,
764,2.34e+01,
765,2.34e+01,
766,2.00e+01,
767,2.00e+01,
768,2.00e+01,
769,2.00e+01,
770,1.61e+01,
771,1.61e+01,
772,1.61e+01,
773,1.61e+01,
774,2.17e+01,
775,2.17e+01,
776,2.17e+01,
777,2.17e+01,
778,2.31e+01,
779,2.31e+01,
780,2.31e+01,
781,2.31e+01,
782,2.33e+01,
783,2.33e+01,
784,2.33e+01,
785,2.33e+01,
786,2.32e+01,
787,2.32e+01,
788,2.32e+01,
789,2.32e+01,
790,2.35e+01,
791,2.35e+01,
792,2.37e+01,
793,2.37e+01,
794,2.32e+01,
795,2.32e+01,
796,2.32e+01,
797,2.32e+01,
798,2.32e+01,
799,2.32e+01,
800,2.32e+01,
801,2.32e+01,
802,2.33e+01,
803,2.33e+01,
804,2.32e+01,
805,2.32e+01,
806,2.31e+01,
807,2.31e+01,
808,2.31e+01,
809,2.31e+01,
810,2.32e+01,
811,2.32e+01,
812,2.32e+01,
813,2.32e+01,
814,2.29e+01,
815,2.29e+01,
816,2.29e+01,
817,2.29e+01,
818,2.23e+01,
819,2.23e+01,
820,2.23e+01,
821,2.23e+01,
822,2.27e+01,
823,2.27e+01,
824,2.27e+01,
825,2.27e+01,
826,2.21e+01,
827,2.21e+01,
828,2.21e+01,
829,2.21e+01,
830,2.11e+01,
831,2.11e+01,
832,2.11e+01,
833,2.11e+01,
834,2.05e+01,
835,2.05e+01,
836,2.05e+01,
837,2.05e+01,
838,2.04e+01,
839,2.04e+01,
840,2.04e+01,
841,2.04e+01,
842,2.10e+01,
843,2.10e+01,
844,2.10e+01,
845,2.10e+01,
846,2.17e+01,
847,2.17e+01,
848,2.16e+01,
849,2.16e+01,
850,2.21e+01,
851,2.21e+01,
852,2.21e+01,
853,2.21e+01,
854,2.32e+01,
855,2.32e+01,
856,2.32e+01,
857,2.32e+01,
858,2.34e+01,
859,2.34e+01,
860,2.34e+01,
861,2.34e+01,
862,2.35e+01,
863,2.35e+01,
864,2.35e+01,
865,2.35e+01,
866,2.35e+01,
867,2.35e+01,
868,2.35e+01,
869,2.35e+01,
870,2.38e+01,
871,2.38e+01,
872,2.37e+01,
873,2.37e+01,
874,2.37e+01,
875,2.37e+01,
876,2.37e+01,
877,2.37e+01,
878,2.35e+01,
879,2.35e+01,
880,2.35e+01,
881,2.35e+01,
882,2.33e+01,
883,2.33e+01,
884,2.32e+01,
885,2.32e+01,
886,2.35e+01,
887,2.35e+01,
888,2.34e+01,
889,2.34e+01,
890,2.33e+01,
891,2.33e+01,
892,2.33e+01,
893,2.33e+01,
894,2.32e+01,
895,2.32e+01,
896,2.32e+01,
897,2.32e+01,
898,2.33e+01,
899,2.33e+01,
900,2.33e+01,
901,2.33e+01,
902,2.32e+01,
903,2.32e+01,
904,2.32e+01,
905,2.32e+01,
906,2.33e+01,
907,2.33e+01,
908,2.33e+01,
909,2.33e+01,
910,2.35e+01,
911,2.35e+01,
912,2.35e+01,
913,2.35e+01,
914,2.34e+01,
915,2.34e+01,
916,2.34e+01,
917,2.34e+01,
918,2.38e+01,
919,2.38e+01,
920,2.37e+01,
921,2.37e+01,
922,2.38e+01,
923,2.38e+01,
924,2.37e+01,
925,2.37e+01,
926,2.35e+01,
927,2.35e+01,
928,2.35e+01,
929,2.35e+01,
930,2.34e+01,
931,2.34e+01,
932,2.35e+01,
933,2.35e+01,
934,2.31e+01,
935,2.31e+01,
936,2.31e+01,
937,2.31e+01,
938,2.31e+01,
939,2.31e+01,
940,2.31e+01,
941,2.31e+01,
942,2.32e+01,
943,2.32e+01,
944,2.33e+01,
945,2.33e+01,
946,2.34e+01,
947,2.34e+01,
948,2.33e+01,
949,2.33e+01,
950,2.32e+01,
951,2.32e+01,
952,2.32e+01,
953,2.32e+01,
954,2.31e+01,
955,2.31e+01,
956,2.31e+01,
957,2.31e+01,
958,2.18e+01,
959,2.18e+01,
960,2.20e+01,
961,2.20e+01,
962,2.26e+01,
963,2.26e+01,
964,2.26e+01,
965,2.26e+01,
966,2.22e+01,
967,2.22e+01,
968,2.21e+01,
969,2.21e+01,
970,2.26e+01,
971,2.26e+01,
972,2.24e+01,
973,2.24e+01,
974,2.32e+01,
975,2.32e+01,
976,2.32e+01,
977,2.32e+01,
978,2.34e+01,
979,2.34e+01,
980,2.34e+01,
981,2.34e+01,
982,2.34e+01,
983,2.34e+01,
984,2.34e+01,
985,2.34e+01,
986,2.38e+01,
987,2.38e+01,
988,2.38e+01,
989,2.38e+01,
990,2.07e+01,
991,2.07e+01,
992,2.07e+01,
993,2.07e+01,
994,1.54e+01,
995,1.54e+01,
996,1.54e+01,
997,1.54e+01,
998,2.12e+01,
999,2.12e+01,
1000,2.12e+01,
1001,2.12e+01,
1002,2.32e+01,
1003,2.32e+01,
1004,2.32e+01,
1005,2.32e+01,
1006,2.31e+01,
1007,2.31e+01,
1008,2.31e+01,
1009,2.31e+01,
1010,2.37e+01,
1011,2.37e+01,
1012,2.35e+01,
1013,2.35e+01,
1014,2.33e+01,
1015,2.33e+01,
1016,2.33e+01,
1017,2.33e+01,
1018,2.34e+01,
1019,2.34e+01,
1020,2.34e+01,
1021,2.34e+01,
1022,2.34e+01,
1023,2.34e+01,
1024,2.34e+01,
1025,2.34e+01,
1026,2.35e+01,
1027,2.35e+01,
1028,2.34e+01,
1029,2.34e+01,
1030,2.32e+01,
1031,2.32e+01,
1032,2.32e+01,
1033,2.32e+01,
1034,2.34e+01,
1035,2.34e+01,
1036,2.34e+01,
1037,2.34e+01,
1038,2.32e+01,
1039,2.32e+01,
1040,2.33e+01,
1041,2.33e+01,
1042,2.28e+01,
1043,2.28e+01,
1044,2.28e+01,
1045,2.28e+01,
1046,2.23e+01,
1047,2.23e+01,
1048,2.23e+01,
1049,2.23e+01,
1050,2.24e+01,
1051,2.24e+01,
1052,2.24e+01,
1053,2.24e+01,
1054,2.15e+01,
1055,2.15e+01,
1056,2.15e+01,
1057,2.15e+01,
1058,2.06e+01,
1059,2.06e+01,
1060,2.06e+01,
1061,2.06e+01,
1062,1.99e+01,
1063,1.99e+01,
1064,1.99e+01,
1065,1.99e+01,
1066,2.03e+01,
1067,2.03e+01,
1068,2.04e+01,
1069,2.04e+01,
1070,2.14e+01,
1071,2.14e+01,
1072,2.14e+01,
1073,2.14e+01,
1074,2.22e+01,
1075,2.22e+01,
1076,2.22e+01,
1077,2.22e+01,
1078,2.26e+01,
1079,2.26e+01,
1080,2.26e+01,
1081,2.26e+01,
1082,2.29e+01,
1083,2.29e+01,
1084,2.29e+01,
1085,2.29e+01,
1086,2.31e+01,
1087,2.31e+01,
1088,2.31e+01,
1089,2.31e+01,
1090,2.31e+01,
1091,2.31e+01,
1092,2.31e+01,
1093,2.31e+01,
1094,2.33e+01,
1095,2.33e+01,
1096,2.32e+01,
1097,2.32e+01,
1098,2.32e+01,
1099,2.32e+01,
1100,2.32e+01,
1101,2.32e+01,
1102,2.33e+01,
1103,2.33e+01,
1104,2.33e+01,
1105,2.33e+01,
1106,2.34e+01,
1107,2.34e+01,
1108,2.35e+01,
1109,2.35e+01,
1110,2.37e+01,
1111,2.37e+01,
1112,2.37e+01,
1113,2.37e+01,
1114,2.31e+01,
1115,2.31e+01,
1116,2.31e+01,
1117,2.31e+01,
1118,2.28e+01,
1119,2.28e+01,
1120,2.28e+01,
1121,2.28e+01,
1122,2.31e+01,
1123,2.31e+01,
1124,2.31e+01,
1125,2.31e+01,
1126,2.28e+01,
1127,2.28e+01,
1128,2.28e+01,
1129,2.28e+01,
1130,2.28e+01,
1131,2.28e+01,
1132,2.28e+01,
1133,2.28e+01,
1134,2.31e+01,
1135,2.31e+01,
1136,2.31e+01,
1137,2.31e+01,
1138,2.27e+01,
1139,2.27e+01,
1140,2.27e+01,
1141,2.27e+01,
1142,2.27e+01,
1143,2.27e+01,
1144,2.27e+01,
1145,2.27e+01,
1146,2.27e+01,
1147,2.27e+01,
1148,2.27e+01,
1149,2.27e+01,
1150,2.27e+01,
1151,2.27e+01,
1152,2.27e+01,
1153,2.27e+01,
1154,2.24e+01,
1155,2.24e+01,
1156,2.24e+01,
1157,2.24e+01,
1158,2.28e+01,
1159,2.28e+01,
1160,2.28e+01,
1161,2.28e+01,
1162,2.24e+01,
1163,2.24e+01,
1164,2.24e+01,
1165,2.24e+01,
1166,2.27e+01,
1167,2.27e+01,
1168,2.27e+01,
1169,2.27e+01,
1170,2.28e+01,
1171,2.28e+01,
1172,2.28e+01,
1173,2.28e+01,
1174,2.29e+01,
1175,2.29e+01,
1176,2.29e+01,
1177,2.29e+01,
1178,2.27e+01,
1179,2.27e+01,
1180,2.27e+01,
1181,2.27e+01,
1182,2.16e+01,
1183,2.16e+01,
1184,2.16e+01,
1185,2.16e+01,
1186,2.12e+01,
1187,2.12e+01,
1188,2.12e+01,
1189,2.12e+01,
1190,2.14e+01,
1191,2.14e+01,
1192,2.14e+01,
1193,2.14e+01,
1194,2.16e+01,
1195,2.16e+01,
1196,2.17e+01,
1197,2.17e+01,
1198,2.20e+01,
1199,2.20e+01,
